0
"Hi, we mentioned in our project proposal that we were aiming to use some approaches on aspect-based sentiment classification. We now realize that the dataset we have chosen is not suitable for it, can we change either dataset or approach?"
When are the deadline(s)?
joined #project along with 7 others.
joined #project.
set the channel purpose: discussion related to the final project
"was added to #project by Hai To (TA), along with 3 others. Also, Tianyu and 6 others joined."
