0
"Hey, is there a way to connect people with no groups for the project?"
"I don’t know why I remember them having GPU enabled notebooks. I have an email from (Nov last year) of a CSC guy which said they would try experimenting with GPU support in notebooks. Maybe they never had GPU enabled notebooks, nevermind :slightly_smiling_face:"
I have just created the channel #groupmatchmaking
"I never knew of them having any, at least for general use.  they did?"
Would've read the text but it is behind paywall :disappointed:
has anyone run used notebooks.csc.fi recently ? I remember there being GPU backed notebooks available but all the instances I create are CPU only now. I can’t even run nvidia-smi
https://www.newscientist.com/article/2194119-fears-of-openais-super-trolling-artificial-intelligence-are-overblown/
