0
Additional information: minoring in Analytics and Data Science
"Hello, yes, sounds good! :)"
"Hi, I'm student majoring in Information and Service Management and I don't have team. Is anyone looking for teammate? :slightly_smiling_face:"
Hi. My major is Bioinformatics. Want to be partners? (edited)
"I also need a partner for the project! I study in Life Science Technologies master, major in Complex Systems."
"I'm looking for a teammate, so if you still need one, feel free to send a message to me!"
Is anyone still looking for a teammate?
are you still looking for a mate?
